City,Country,Temperature,Humidity,Cloudiness,Windspeed,Date,Longitude,Latitude
Pangnirtung,CA,42.8,81,90,12.75,1593102012,-65.71,66.15
Tiksi,RU,46.56,84,6,4.32,1593102012,128.87,71.69
Tsiroanomandidy,MG,68.88,59,65,2.21,1593102012,46.03,-18.77
Villarrica,PY,60.75,90,97,12.15,1593102012,-56.43,-25.75
Moctezuma,MX,91.38,18,59,4.5,1593101731,-109.67,29.8
Peleduy,RU,57.74,76,16,1.68,1593102012,112.74,59.63
Sri Aman,MY,77.0,94,100,2.24,1593102012,111.46,1.24
Zhoucun,CN,78.01,75,23,1.01,1593102012,117.82,36.82
Kindu,CD,84.78,42,90,0.83,1593102012,25.95,-2.95
Ilo,PE,64.35,71,62,8.23,1593102012,-71.34,-17.64
Soyo,AO,80.6,65,20,6.93,1593102012,12.37,-6.13
Portland,US,62.01,82,90,4.7,1593101504,-122.68,45.52
Río Gallegos,AR,33.8,86,20,9.17,1593102012,-69.22,-51.62
Vilhena,BR,86.0,45,92,11.41,1593101897,-60.15,-12.74
Longyearbyen,SJ,48.2,76,75,5.82,1593102012,15.64,78.22
Limbang,MY,77.0,88,75,8.05,1593102013,115.0,4.75
Ponta do Sol,PT,72.0,64,40,12.75,1593102013,-17.1,32.67
Vysokogornyy,RU,46.36,95,100,1.7,1593102013,139.15,50.12
Bāndarban,BD,86.0,84,20,6.93,1593102013,92.23,22.2
Beachwood,US,77.0,50,40,12.75,1593102013,-81.51,41.46
Lavrentiya,RU,37.54,78,9,5.01,1593102013,-171.0,65.58
Doha,QA,97.0,59,0,9.17,1593102013,51.53,25.29
Ambon City,ID,81.0,13,96,15.28,1593102013,128.18,-3.7
Nurota,UZ,91.4,11,0,4.7,1593102013,65.69,40.56
Fukuechō,JP,75.42,92,98,6.49,1593102013,128.84,32.69
Oranjemund,NA,59.22,80,0,7.31,1593102013,16.43,-28.55
Salaga,GH,92.17,48,71,6.31,1593102013,-0.52,8.55
Sinegor'ye,RU,63.0,55,79,4.36,1593102013,150.48,62.08
Kutum,SD,83.61,31,97,15.21,1593102013,24.67,14.2
Ternate,ID,80.76,77,97,5.5,1593102013,127.4,0.8
Zhuangyuan,CN,72.0,82,0,2.86,1593102013,120.83,37.3
Burgersdorp,ZA,50.85,40,0,8.86,1593102013,26.33,-31.0
Isangel,VU,73.17,86,97,13.13,1593102013,169.27,-19.55
Coahuayana Viejo,MX,73.4,83,75,2.44,1593102014,-103.68,18.73
Olden,NO,77.0,44,0,8.05,1593102014,6.81,61.84
Pacasmayo,PE,68.63,69,87,10.83,1593102014,-79.57,-7.4
Envira,BR,81.95,84,21,1.97,1593102014,-70.22,-7.3
Palauig,PH,80.15,83,100,8.95,1593102014,119.9,15.44
Andenes,NO,55.4,71,75,17.22,1593102014,16.12,69.31
Daşoguz,TM,86.0,25,3,4.7,1593102014,59.97,41.84
Camaná,PE,65.75,68,44,10.16,1593102014,-72.71,-16.62
Saint-Pierre,RE,71.6,78,22,14.99,1593102014,55.48,-21.34
Sur,OM,85.87,72,81,10.4,1593102014,59.53,22.57
Sola,VU,78.8,94,20,13.11,1593102014,167.55,-13.88
Saint Anthony,US,80.01,39,1,4.7,1593102014,-93.22,45.02
Poconé,BR,90.95,36,100,8.88,1593102014,-56.62,-16.26
Otradnoye,RU,80.6,44,0,8.95,1593102014,30.82,59.78
San Miguel de Cozumel,MX,88.0,70,40,11.41,1593101934,-86.95,20.51
Stephenville,US,82.4,61,1,4.7,1593102014,-98.2,32.22
Batagay,RU,68.88,44,8,2.1,1593102014,134.63,67.63
Omboué,GA,75.11,76,20,11.18,1593102014,9.26,-1.57
Florianópolis,BR,79.0,50,71,9.17,1593101718,-48.5,-27.61
Lakselv,NO,64.4,55,40,23.04,1593102014,24.97,70.05
Kavaratti,IN,82.78,77,100,23.94,1593102015,72.64,10.57
Santa Cruz de La Palma,ES,77.0,57,20,19.46,1593102015,-17.76,28.68
Weihe,CN,66.52,90,93,5.26,1593102015,105.32,33.0
Buchanan,LR,84.2,79,75,8.05,1593102015,-10.05,5.88
Banda Aceh,ID,80.62,69,100,3.94,1593102015,95.32,5.56
Mushie,CD,89.38,40,99,2.57,1593102015,16.9,-3.02
Cabatuan,PH,78.39,82,100,5.23,1593102015,122.49,10.88
Bilibino,RU,51.96,72,100,2.73,1593102015,166.44,68.05
Songyang,CN,84.99,99,27,7.94,1593102015,113.03,34.46
Verrettes,HT,93.2,46,75,17.22,1593102015,-72.47,19.05
Cherdyn',RU,46.89,86,100,7.92,1593102015,56.48,60.4
Gigmoto,PH,82.56,82,99,5.66,1593102015,124.39,13.78
Cayenne,GF,82.4,78,75,4.7,1593102015,-52.33,4.93
Wenling,CN,79.0,97,99,6.87,1593102015,121.36,28.37
Rosarito,MX,64.99,82,90,3.36,1593102015,-117.03,32.33
Jaranwala,PK,97.83,34,0,6.38,1593102015,73.43,31.33
Krasnyy Chikoy,RU,56.07,82,9,2.01,1593102015,108.75,50.36
Agadez,NE,108.25,6,0,10.51,1593102015,10.25,19.75
Utete,TZ,76.01,74,38,6.91,1593102015,38.76,-7.99
Choma,ZM,60.57,63,96,5.21,1593101944,26.95,-16.81
Porto-Novo,BJ,84.2,79,20,14.99,1593102015,2.6,6.5
Ulaanbaatar,MN,55.4,82,91,2.24,1593101828,106.88,47.91
Vilyuysk,RU,61.27,69,55,5.53,1593102016,121.62,63.76
Lashio,MM,69.67,98,100,1.32,1593102016,97.75,22.93
Shwebo,MM,78.51,89,100,6.35,1593102016,95.7,22.57
Port-Cartier,CA,64.99,72,40,11.41,1593102016,-66.87,50.03
Weiser,US,78.8,34,1,4.27,1593102016,-116.97,44.25
Nālūt,LY,97.63,9,0,12.39,1593102016,10.85,30.33
Katsuura,JP,71.01,94,75,11.41,1593102016,140.3,35.13
Vila Velha,BR,80.6,61,40,11.41,1593101966,-40.29,-20.33
Nipawin,CA,66.2,82,75,12.75,1593102016,-104.0,53.37
Ginir,ET,61.56,89,2,6.93,1593102016,40.7,7.13
Visby,SE,80.01,49,0,5.82,1593102016,18.3,57.64
Gamba,GA,74.97,76,98,9.84,1593102016,10.0,-2.65
Yumen,CN,73.9,18,96,8.41,1593102016,97.2,40.28
Broken Hill,AU,44.6,65,0,1.12,1593102016,141.43,-31.95
Mogadishu,SO,79.39,81,39,17.92,1593101767,45.34,2.04
Bereda,ES,66.0,1,19,6.11,1593102016,-7.54,43.27
Tegul'det,RU,60.6,90,20,2.55,1593102016,88.17,57.31
Celestún,MX,87.21,62,99,9.75,1593102016,-90.4,20.87
Laas,IT,66.2,68,75,8.05,1593102016,10.7,46.62
Amapá,BR,87.76,56,75,4.5,1593102017,-52.0,1.0
Watsa,CD,70.52,94,97,0.18,1593102017,29.54,3.04
Vila Franca do Campo,PT,68.0,77,20,19.46,1593102017,-25.43,37.72
Kahului,US,75.2,73,40,8.05,1593101966,-156.47,20.89
Fallon,US,77.0,36,75,3.36,1593101909,-118.78,39.47
High Rock,BS,87.8,74,20,8.05,1593102017,-78.28,26.62
Byron Bay,AU,52.0,93,25,8.14,1593102017,153.62,-28.65
Alofi,NU,71.6,100,88,5.82,1593102017,-169.92,-19.06
San Cristobal,VE,87.8,45,40,24.16,1593102017,-72.22,7.77
Port Lincoln,AU,54.1,82,34,4.97,1593102017,135.87,-34.73
Turbat,PK,87.4,67,15,10.4,1593102017,63.04,26.0
Polyarny,RU,68.0,52,90,4.47,1593102017,33.45,69.2
Acarí,PE,73.4,44,51,8.57,1593102017,-74.62,-15.43
Zhigansk,RU,61.57,68,9,4.83,1593102017,123.37,66.77
Trebišov,SK,84.2,54,40,1.12,1593102017,21.72,48.63
Brae,GB,59.0,87,94,11.41,1593102017,-1.35,60.4
Menongue,AO,70.99,23,0,3.98,1593102017,17.69,-14.66
Port Hardy,CA,55.4,82,75,5.82,1593102017,-127.42,50.7
Beeville,US,87.8,66,1,5.82,1593101825,-97.75,28.4
Dickinson,US,80.01,88,90,19.04,1593102017,-95.05,29.46
Pāsighāt,IN,75.36,87,100,2.64,1593102018,95.33,28.07
Lucea,JM,88.0,74,40,16.11,1593102018,-78.17,18.45
Oddur,SO,82.53,52,43,17.09,1593102018,43.89,4.12
Viking,CA,64.67,73,46,10.04,1593102018,-111.77,53.1
Staryy Nadym,RU,55.06,85,100,5.12,1593102018,72.68,65.61
Pudem,RU,51.98,68,67,5.32,1593102018,52.17,58.3
Leova,MD,78.28,56,24,9.22,1593102018,28.26,46.48
Ilanskiy,RU,61.84,95,100,5.39,1593102018,96.06,56.24
Ugoofaaru,MV,80.74,84,100,29.35,1593102018,73.0,5.67
Westport,US,80.01,60,1,9.17,1593102018,-73.36,41.14
Daphne,US,89.6,79,75,5.82,1593102018,-87.9,30.6
Bahía Solano,CO,83.46,75,85,6.02,1593102018,-77.4,6.23
Taoudenni,ML,114.73,5,0,4.68,1593102018,-3.98,22.68
Namysłów,PL,77.0,57,20,11.41,1593102019,17.72,51.08
Tomatlán,MX,92.71,45,41,0.74,1593102019,-105.25,19.93
Kosa,RU,47.97,85,100,7.56,1593102019,55.0,59.94
Tornio,FI,71.6,60,100,6.93,1593102019,24.15,65.85
Elk City,US,82.4,48,1,13.87,1593101835,-99.4,35.41
Namatanai,PG,80.55,76,97,7.61,1593102019,152.43,-3.67
Halászi,HU,75.99,63,44,6.13,1593102019,17.33,47.89
Hasaki,JP,66.2,100,75,6.93,1593102019,140.83,35.73
Ngunguru,NZ,55.99,95,94,4.0,1593102019,174.5,-35.62
Udimskiy,RU,56.89,58,77,5.64,1593102020,45.91,61.14
Ajdabiya,LY,78.35,58,0,20.62,1593101992,20.23,30.76
Faya,SA,80.6,50,0,13.87,1593102020,42.45,18.39
Quang Ngai,VN,80.53,83,100,5.57,1593102020,108.8,15.12
Russell,US,77.0,83,20,5.82,1593101874,-85.2,32.35
Bagé,BR,53.6,87,90,18.34,1593102020,-54.11,-31.33
Lima,PE,62.6,82,90,6.93,1593101826,-77.03,-12.04
Roald,NO,66.0,77,33,4.7,1593102020,6.13,62.58
Uíge,AO,86.0,45,20,13.87,1593102020,15.06,-7.61
Basco,PH,85.01,81,100,13.24,1593102020,121.97,20.45
Dyurtyuli,RU,50.43,77,52,7.9,1593102020,54.87,55.49
Mareeba,AU,66.2,82,75,5.82,1593102020,145.43,-17.0
Zyryanka,RU,69.96,35,23,6.31,1593102020,150.85,65.75
Karpathos,GR,77.0,78,20,24.16,1593102021,27.21,35.51
Tucupita,VE,79.63,90,97,4.79,1593102021,-62.05,9.06
Puerto Palomas,MX,82.4,30,1,3.36,1593102021,-107.62,31.77
São Francisco,BR,85.3,26,0,4.0,1593102021,-44.86,-15.95
Kharan,PK,91.13,10,0,7.38,1593102021,65.42,28.58
Dejen,ET,62.02,72,81,6.22,1593102021,38.13,10.17
Iguape,BR,84.2,49,52,10.94,1593102021,-47.56,-24.71
Albanel,CA,64.4,63,75,11.41,1593102021,-72.45,48.88
Pio IX,BR,86.38,40,3,11.52,1593102021,-40.58,-6.84
Grafton,US,80.01,53,1,10.29,1593102021,-71.69,42.21
Darhan,MN,64.11,60,0,2.91,1593102021,105.92,49.49
Trairi,BR,84.79,54,21,10.38,1593102021,-39.27,-3.28
Fortuna,US,59.0,100,90,3.36,1593102021,-124.16,40.6
Merrill,US,73.4,49,40,6.93,1593102021,-89.68,45.18
Naze,JP,80.6,88,75,8.05,1593102022,129.48,28.37
Luwuk,ID,77.52,80,100,5.55,1593102022,122.79,-0.95
Millerovo,RU,67.46,57,4,11.39,1593102022,40.4,48.92
Hachinohe,JP,60.8,100,90,12.75,1593102022,141.5,40.5
Heraclea,TR,81.48,27,0,10.07,1593102022,34.05,37.51
Mayachnyy,RU,51.57,71,0,11.92,1593102022,55.69,52.68
Sørland,NO,57.2,71,75,18.34,1593102022,12.69,67.67
Margate,GB,80.01,56,0,7.0,1593102022,1.39,51.38
Ipixuna,BR,89.6,59,40,8.05,1593102022,-48.8,-1.76
Sokolovo,RU,63.25,87,60,4.43,1593102022,84.79,52.53
Kologriv,RU,62.01,59,2,5.57,1593102022,44.32,58.83
Ginda,IN,67.69,78,70,2.98,1593102022,78.49,30.69
Ørje,NO,81.0,52,7,1.99,1593102022,11.66,59.48
Boyolangu,ID,73.62,88,79,3.76,1593102022,111.89,-8.12
Durazno,UY,55.4,66,75,17.22,1593102022,-56.5,-33.41
Hilversum,NL,86.0,46,2,3.0,1593102022,5.18,52.22
Lincoln,US,78.8,65,1,16.11,1593101985,-96.67,40.8
Tobermory,CA,64.99,67,100,10.0,1593102023,-81.67,45.25
Malanje,AO,79.61,19,13,3.78,1593102023,16.34,-9.54
Nelson Bay,AU,52.0,76,90,8.05,1593102023,152.15,-32.72
Goderich,CA,71.01,86,100,1.01,1593102023,-81.72,43.75
Praia da Vitória,PT,75.2,60,20,13.78,1593102023,-27.07,38.73
Souillac,MU,73.4,69,40,16.11,1593102023,57.52,-20.52
Abu Samrah,SY,87.35,28,0,15.23,1593102023,37.18,35.3
Asău,RO,70.0,81,76,5.53,1593102023,26.4,46.43
Poum,NC,70.36,67,0,14.79,1593102023,164.02,-20.23
Champerico,GT,86.0,66,75,6.93,1593102023,-91.92,14.3
Hobyo,SO,79.45,77,34,28.54,1593102023,48.53,5.35
Taiyuan,CN,73.4,69,28,11.18,1593102023,112.56,37.87
Narón,ES,66.0,72,75,9.17,1593102023,-8.15,43.52
Namie,JP,66.0,95,100,5.5,1593102023,141.0,37.48
Tahe,CN,52.66,77,47,2.13,1593102023,124.73,52.33
Jua,IN,84.2,79,40,4.7,1593102024,73.93,15.53
Cairns,AU,66.2,82,75,5.82,1593102024,145.77,-16.92
Talcahuano,CL,50.0,81,75,4.7,1593101851,-73.12,-36.72
Kampong Thom,KH,79.03,90,100,8.16,1593102024,104.89,12.71
Peniche,PT,70.0,74,37,13.0,1593102024,-9.38,39.36
Havelock,US,79.0,74,75,10.29,1593102024,-76.9,34.88
Madimba,TZ,78.8,65,20,16.11,1593102024,40.33,-10.4
Jaspur,IN,87.26,62,74,13.6,1593102024,78.82,29.28
Semnan,IR,88.11,15,0,3.15,1593102024,53.4,35.57
Kontagora,NG,91.92,48,96,3.2,1593102024,5.47,10.4
La Paz,BO,55.4,7,0,13.87,1593102024,-68.15,-16.5
Deputatsky,RU,65.26,57,32,3.04,1593102024,139.9,69.3
Miracema do Tocantins,BR,87.01,33,0,5.68,1593102024,-48.4,-9.56
Bathsheba,BB,87.8,70,20,21.92,1593102024,-59.52,13.22
Bang Phae,TH,82.17,77,100,3.62,1593102024,99.93,13.69
Tual,ID,79.97,78,98,19.13,1593102024,132.75,-5.67
Millville,US,86.0,42,20,6.93,1593101966,-75.04,39.4
Yarmouth,US,82.4,48,1,9.17,1593102024,-70.23,41.71
Port Augusta,AU,41.0,100,0,5.82,1593102025,137.77,-32.5
Yicheng,CN,72.0,86,59,3.0,1593102025,119.87,31.37
Luwingu,ZM,70.84,43,68,5.03,1593102025,29.93,-10.26
Xichang,CN,70.7,68,100,3.0,1593102025,102.26,27.9
Rock Sound,BS,82.76,78,47,13.56,1593102025,-76.2,24.9
Olinda,BR,84.2,58,20,12.75,1593102025,-34.86,-8.01
Bloomington,US,80.01,44,40,4.7,1593102025,-93.3,44.84
Chicama,PE,72.25,58,52,8.28,1593102025,-79.15,-7.84
Yakeshi,CN,50.41,84,16,2.24,1593102025,120.73,49.28
Kirkwall,GB,60.8,87,51,18.34,1593102026,-2.96,58.98
Grindavik,IS,50.0,76,90,2.24,1593102026,-22.43,63.84
Bubaque,GW,81.82,76,98,8.05,1593102026,-15.83,11.28
Bay Roberts,CA,78.01,61,43,7.2,1593102026,-53.26,47.6
Moerai,PF,73.26,79,42,13.91,1593102026,-151.33,-22.43
Rawson,AR,43.48,59,9,14.54,1593102026,-65.1,-43.3
Sirte,LY,76.37,66,0,15.66,1593102026,16.59,31.21
Geraldton,AU,57.2,76,75,5.82,1593102026,114.6,-28.77
Verkhoyansk,RU,72.09,36,29,2.13,1593102026,133.38,67.54
Bagotville,AU,52.0,93,33,6.93,1593102026,153.42,-28.98
Mastic Beach,US,84.2,28,1,6.93,1593102027,-72.85,40.77
Preobrazheniye,RU,57.67,88,99,13.49,1593102027,133.91,42.9
Dunedin,NZ,46.99,92,78,1.01,1593101935,170.5,-45.87
Shimoda,JP,71.01,95,99,1.01,1593102027,138.95,34.67
Vinh,VN,85.71,67,100,5.77,1593102027,105.67,18.67
Vulturu,RO,78.8,57,75,13.87,1593102027,27.42,45.62
Nurlat,RU,51.42,78,4,8.1,1593102027,50.81,54.43
Letpadan,MM,80.82,87,100,7.67,1593102027,95.75,17.78
Beisfjord,NO,55.4,71,75,26.4,1593102027,17.6,68.38
Mitoc,RO,79.0,57,76,8.05,1593102027,27.03,48.1
Wasilla,US,53.6,54,1,9.17,1593102027,-149.44,61.58
Ussel,FR,83.53,36,2,5.21,1593102027,2.32,45.55
Pierre,US,80.01,61,1,3.36,1593102027,-100.35,44.37
Kerch,UA,76.35,64,1,18.48,1593102027,36.48,45.36
Jining,CN,78.84,71,1,8.81,1593102027,116.58,35.41
Kamenka,RU,68.0,43,59,8.99,1593102027,42.77,51.32
Xinzhi,CN,80.76,20,86,2.77,1593102028,111.7,36.5
Lubango,AO,68.63,24,2,5.14,1593102028,13.49,-14.92
Opelousas,US,80.01,78,40,4.7,1593102028,-92.08,30.53
Marsaxlokk,MT,79.0,57,0,8.05,1593102028,14.54,35.84
Tazovsky,RU,57.07,61,100,6.26,1593102028,78.7,67.47
Mayor Pablo Lagerenza,PY,67.39,57,94,13.8,1593102028,-60.77,-19.93
Dores do Indaiá,BR,76.48,51,0,5.48,1593102028,-45.6,-19.46
Kasempa,ZM,67.78,42,28,5.79,1593102028,25.83,-13.46
Dudinka,RU,62.6,59,21,15.66,1593102028,86.18,69.41
Polis,CY,81.0,78,20,16.11,1593102028,32.43,35.04
Buarcos,PT,69.8,68,20,12.75,1593102028,-8.88,40.17
Shingū,JP,73.96,96,99,6.4,1593102028,135.98,33.73
Verkhnetulomskiy,RU,68.0,52,86,4.47,1593101945,31.8,68.61
High Level,CA,66.2,45,75,6.93,1593102028,-117.14,58.52
Kununurra,AU,69.8,27,2,4.7,1593102028,128.73,-15.77
Mpanda,TZ,77.49,42,61,4.38,1593102028,31.04,-6.37
Gimli,CA,67.66,76,94,13.29,1593102028,-96.99,50.63
Okhotsk,RU,44.87,94,79,3.53,1593102028,143.3,59.38
Sundumbili,ZA,69.8,64,0,12.75,1593102028,31.4,-29.13
Waipawa,NZ,53.01,79,95,8.01,1593102028,175.52,-41.41
Quryq,KZ,78.53,61,70,18.97,1593102028,51.65,43.2
Paphos,CY,81.0,78,20,16.11,1593101836,32.42,34.77
Namtsy,RU,57.2,76,1,6.71,1593102029,129.67,62.72
Hondomachi-hondo,JP,82.0,83,22,11.01,1593102029,130.2,32.45
Vostok,RU,51.28,100,100,2.59,1593102029,135.88,46.49
Songjianghe,CN,60.22,97,100,1.77,1593102029,127.48,42.19
Mukeriān,IN,92.39,35,0,1.97,1593102029,75.62,31.95
Esperance,AU,51.8,50,40,12.75,1593102029,121.9,-33.87
Port-Gentil,GA,77.0,78,90,11.41,1593102029,8.78,-0.72
Kuching,MY,77.0,100,20,3.36,1593102002,110.33,1.55
Strezhevoy,RU,55.4,93,40,4.47,1593102029,77.59,60.73
Husavik,IS,55.4,76,40,6.93,1593102029,-17.34,66.04
Daru,PG,78.85,86,84,15.82,1593102029,143.21,-9.08
Vernon,CA,64.99,82,1,0.94,1593101761,-119.27,50.26
Rudnogorsk,RU,60.44,71,25,1.97,1593102029,103.75,57.26
São Sepé,BR,60.8,93,75,10.29,1593102029,-53.57,-30.16
Nicoya,CR,87.8,62,84,17.22,1593102029,-85.45,10.15
Tautira,PF,77.0,88,20,17.22,1593102029,-149.15,-17.73
Aloleng,PH,80.24,87,100,9.28,1593102029,119.78,16.13
Makakilo City,US,75.2,88,40,6.93,1593102030,-158.09,21.35
Sungai Raya,ID,77.27,84,80,0.83,1593102030,108.9,0.7
Sarāhan,IN,63.01,69,30,1.32,1593102030,77.8,31.52
Punta Alta,AR,48.54,52,0,11.68,1593102030,-62.07,-38.88
Kulgam,IN,67.26,62,24,2.98,1593102030,75.02,33.65
